Country,Year,Number of Participants
AE,2013,0.0
AE,2014,0.0
AE,2015,1.0
AE,2016,0.0
AE,2017,0.0
AE,2018,0.0
AR,2013,28.0
AR,2014,0.0
AR,2015,0.0
AR,2016,1.0
AR,2017,0.0
AR,2018,0.0
AT,2013,0.0
AT,2014,0.0
AT,2015,2.0
AT,2016,0.0
AT,2017,0.0
AT,2018,0.0
AU,2013,6.0
AU,2014,0.0
AU,2015,0.0
AU,2016,4.0
AU,2017,1.0
AU,2018,7.0
BB,2013,0.0
BB,2014,2.0
BB,2015,19.0
BB,2016,2.0
BB,2017,0.0
BB,2018,0.0
BD,2013,0.0
BD,2014,0.0
BD,2015,1.0
BD,2016,0.0
BD,2017,0.0
BD,2018,0.0
BE,2013,1.0
BE,2014,1.0
BE,2015,0.0
BE,2016,0.0
BE,2017,0.0
BE,2018,0.0
BG,2013,1.0
BG,2014,0.0
BG,2015,0.0
BG,2016,0.0
BG,2017,0.0
BG,2018,0.0
BJ,2013,0.0
BJ,2014,0.0
BJ,2015,0.0
BJ,2016,2.0
BJ,2017,0.0
BJ,2018,0.0
BO,2013,0.0
BO,2014,1.0
BO,2015,0.0
BO,2016,1.0
BO,2017,0.0
BO,2018,0.0
BR,2013,9.0
BR,2014,4.0
BR,2015,0.0
BR,2016,4.0
BR,2017,2.0
BR,2018,23.0
BS,2013,0.0
BS,2014,0.0
BS,2015,0.0
BS,2016,2.0
BS,2017,2.0
BS,2018,0.0
BT,2013,0.0
BT,2014,0.0
BT,2015,23.0
BT,2016,2.0
BT,2017,0.0
BT,2018,0.0
BW,2013,0.0
BW,2014,0.0
BW,2015,1.0
BW,2016,0.0
BW,2017,0.0
BW,2018,0.0
BZ,2013,0.0
BZ,2014,0.0
BZ,2015,0.0
BZ,2016,1.0
BZ,2017,0.0
BZ,2018,0.0
CA,2013,19.0
CA,2014,4.0
CA,2015,0.0
CA,2016,6.0
CA,2017,10.0
CA,2018,6.0
CH,2013,4.0
CH,2014,0.0
CH,2015,24.0
CH,2016,6.0
CH,2017,5.0
CH,2018,8.0
CI,2013,0.0
CI,2014,0.0
CI,2015,0.0
CI,2016,0.0
CI,2017,0.0
CI,2018,1.0
CL,2013,24.0
CL,2014,2.0
CL,2015,0.0
CL,2016,0.0
CL,2017,0.0
CL,2018,3.0
CM,2013,1.0
CM,2014,0.0
CM,2015,0.0
CM,2016,0.0
CM,2017,0.0
CM,2018,0.0
CN,2013,3.0
CN,2014,3.0
CN,2015,1.0
CN,2016,12.0
CN,2017,381.0
CN,2018,343.0
CO,2013,5.0
CO,2014,3.0
CO,2015,18.0
CO,2016,3.0
CO,2017,4.0
CO,2018,3.0
CR,2013,2.0
CR,2014,8.0
CR,2015,0.0
CR,2016,0.0
CR,2017,1.0
CR,2018,2.0
DE,2013,5.0
DE,2014,1.0
DE,2015,5.0
DE,2016,4.0
DE,2017,5.0
DE,2018,3.0
DK,2013,2.0
DK,2014,0.0
DK,2015,0.0
DK,2016,0.0
DK,2017,1.0
DK,2018,0.0
DO,2013,3.0
DO,2014,0.0
DO,2015,0.0
DO,2016,0.0
DO,2017,0.0
DO,2018,0.0
EC,2013,4.0
EC,2014,2.0
EC,2015,31.0
EC,2016,1.0
EC,2017,2.0
EC,2018,1.0
EG,2013,0.0
EG,2014,0.0
EG,2015,1.0
EG,2016,0.0
EG,2017,0.0
EG,2018,0.0
ES,2013,30.0
ES,2014,8.0
ES,2015,0.0
ES,2016,0.0
ES,2017,3.0
ES,2018,3.0
ET,2013,0.0
ET,2014,0.0
ET,2015,6.0
ET,2016,1.0
ET,2017,0.0
ET,2018,1.0
FR,2013,0.0
FR,2014,4.0
FR,2015,7.0
FR,2016,4.0
FR,2017,3.0
FR,2018,3.0
GB,2013,143.0
GB,2014,2.0
GB,2015,1.0
GB,2016,16.0
GB,2017,7.0
GB,2018,6.0
GE,2013,2.0
GE,2014,0.0
GE,2015,0.0
GE,2016,0.0
GE,2017,0.0
GE,2018,0.0
GH,2013,0.0
GH,2014,0.0
GH,2015,2.0
GH,2016,0.0
GH,2017,0.0
GH,2018,0.0
GR,2013,0.0
GR,2014,1.0
GR,2015,0.0
GR,2016,0.0
GR,2017,0.0
GR,2018,0.0
GT,2013,2.0
GT,2014,0.0
GT,2015,0.0
GT,2016,1.0
GT,2017,0.0
GT,2018,0.0
HU,2013,1.0
HU,2014,0.0
HU,2015,1.0
HU,2016,0.0
HU,2017,0.0
HU,2018,0.0
ID,2013,3.0
ID,2014,1.0
ID,2015,3.0
ID,2016,3.0
ID,2017,2.0
ID,2018,3.0
IL,2013,0.0
IL,2014,1.0
IL,2015,1.0
IL,2016,0.0
IL,2017,0.0
IL,2018,1.0
IN,2013,0.0
IN,2014,62.0
IN,2015,0.0
IN,2016,1.0
IN,2017,0.0
IN,2018,2.0
IT,2013,2.0
IT,2014,4.0
IT,2015,15.0
IT,2016,0.0
IT,2017,0.0
IT,2018,2.0
JM,2013,0.0
JM,2014,0.0
JM,2015,0.0
JM,2016,0.0
JM,2017,0.0
JM,2018,1.0
JO,2013,0.0
JO,2014,0.0
JO,2015,1.0
JO,2016,0.0
JO,2017,0.0
JO,2018,0.0
JP,2013,1.0
JP,2014,1.0
JP,2015,0.0
JP,2016,0.0
JP,2017,1.0
JP,2018,3.0
KE,2013,1.0
KE,2014,0.0
KE,2015,40.0
KE,2016,0.0
KE,2017,0.0
KE,2018,2.0
KG,2013,1.0
KG,2014,0.0
KG,2015,0.0
KG,2016,1.0
KG,2017,0.0
KG,2018,0.0
KH,2013,24.0
KH,2014,1.0
KH,2015,7.0
KH,2016,2.0
KH,2017,0.0
KH,2018,0.0
KR,2013,0.0
KR,2014,24.0
KR,2015,0.0
KR,2016,0.0
KR,2017,4.0
KR,2018,4.0
KZ,2013,0.0
KZ,2014,0.0
KZ,2015,1.0
KZ,2016,0.0
KZ,2017,0.0
KZ,2018,0.0
LA,2013,1.0
LA,2014,0.0
LA,2015,3.0
LA,2016,0.0
LA,2017,0.0
LA,2018,0.0
LK,2013,0.0
LK,2014,0.0
LK,2015,1.0
LK,2016,0.0
LK,2017,1.0
LK,2018,1.0
LR,2013,0.0
LR,2014,0.0
LR,2015,0.0
LR,2016,0.0
LR,2017,0.0
LR,2018,1.0
LT,2013,0.0
LT,2014,2.0
LT,2015,0.0
LT,2016,0.0
LT,2017,0.0
LT,2018,1.0
MA,2013,0.0
MA,2014,0.0
MA,2015,1.0
MA,2016,0.0
MA,2017,0.0
MA,2018,0.0
MG,2013,0.0
MG,2014,0.0
MG,2015,0.0
MG,2016,0.0
MG,2017,2.0
MG,2018,0.0
MM,2013,0.0
MM,2014,0.0
MM,2015,5.0
MM,2016,0.0
MM,2017,0.0
MM,2018,2.0
MN,2013,20.0
MN,2014,0.0
MN,2015,0.0
MN,2016,1.0
MN,2017,0.0
MN,2018,13.0
MQ,2013,0.0
MQ,2014,0.0
MQ,2015,0.0
MQ,2016,1.0
MQ,2017,0.0
MQ,2018,0.0
MX,2013,6.0
MX,2014,5.0
MX,2015,4.0
MX,2016,8.0
MX,2017,1.0
MX,2018,3.0
MY,2013,2.0
MY,2014,0.0
MY,2015,3.0
MY,2016,2.0
MY,2017,0.0
MY,2018,0.0
MZ,2013,24.0
MZ,2014,0.0
MZ,2015,0.0
MZ,2016,60.0
MZ,2017,1.0
MZ,2018,6.0
NG,2013,0.0
NG,2014,0.0
NG,2015,0.0
NG,2016,0.0
NG,2017,1.0
NG,2018,2.0
NI,2013,7.0
NI,2014,0.0
NI,2015,0.0
NI,2016,0.0
NI,2017,0.0
NI,2018,0.0
NL,2013,1.0
NL,2014,4.0
NL,2015,1.0
NL,2016,0.0
NL,2017,0.0
NL,2018,0.0
NO,2013,0.0
NO,2014,1.0
NO,2015,0.0
NO,2016,2.0
NO,2017,3.0
NO,2018,0.0
NP,2013,0.0
NP,2014,1.0
NP,2015,0.0
NP,2016,0.0
NP,2017,2.0
NP,2018,0.0
NZ,2013,3.0
NZ,2014,1.0
NZ,2015,0.0
NZ,2016,1.0
NZ,2017,0.0
NZ,2018,1.0
PA,2013,1.0
PA,2014,0.0
PA,2015,0.0
PA,2016,1.0
PA,2017,0.0
PA,2018,0.0
PE,2013,44.0
PE,2014,0.0
PE,2015,0.0
PE,2016,1.0
PE,2017,0.0
PE,2018,8.0
PH,2013,1.0
PH,2014,3.0
PH,2015,2.0
PH,2016,0.0
PH,2017,0.0
PH,2018,0.0
PK,2013,0.0
PK,2014,0.0
PK,2015,0.0
PK,2016,0.0
PK,2017,0.0
PK,2018,3.0
PR,2013,0.0
PR,2014,0.0
PR,2015,1.0
PR,2016,0.0
PR,2017,0.0
PR,2018,0.0
PT,2013,1.0
PT,2014,9.0
PT,2015,0.0
PT,2016,1.0
PT,2017,2.0
PT,2018,0.0
RO,2013,0.0
RO,2014,0.0
RO,2015,1.0
RO,2016,0.0
RO,2017,22.0
RO,2018,1.0
RU,2013,0.0
RU,2014,0.0
RU,2015,0.0
RU,2016,1.0
RU,2017,1.0
RU,2018,1.0
SC,2013,0.0
SC,2014,0.0
SC,2015,0.0
SC,2016,0.0
SC,2017,1.0
SC,2018,0.0
SE,2013,1.0
SE,2014,0.0
SE,2015,0.0
SE,2016,1.0
SE,2017,6.0
SE,2018,2.0
SG,2013,1.0
SG,2014,0.0
SG,2015,0.0
SG,2016,0.0
SG,2017,1.0
SG,2018,1.0
SI,2013,0.0
SI,2014,0.0
SI,2015,2.0
SI,2016,0.0
SI,2017,0.0
SI,2018,0.0
SR,2013,0.0
SR,2014,0.0
SR,2015,0.0
SR,2016,1.0
SR,2017,0.0
SR,2018,0.0
SZ,2013,0.0
SZ,2014,0.0
SZ,2015,0.0
SZ,2016,1.0
SZ,2017,0.0
SZ,2018,0.0
TH,2013,0.0
TH,2014,0.0
TH,2015,7.0
TH,2016,1.0
TH,2017,0.0
TH,2018,0.0
TN,2013,0.0
TN,2014,0.0
TN,2015,5.0
TN,2016,0.0
TN,2017,0.0
TN,2018,0.0
TT,2013,0.0
TT,2014,1.0
TT,2015,0.0
TT,2016,0.0
TT,2017,0.0
TT,2018,0.0
TZ,2013,0.0
TZ,2014,0.0
TZ,2015,1.0
TZ,2016,0.0
TZ,2017,0.0
TZ,2018,1.0
US,2013,144.0
US,2014,86.0
US,2015,24.0
US,2016,171.0
US,2017,185.0
US,2018,171.0
VN,2013,5.0
VN,2014,1.0
VN,2015,3.0
VN,2016,2.0
VN,2017,0.0
VN,2018,0.0
ZA,2013,0.0
ZA,2014,0.0
ZA,2015,18.0
ZA,2016,3.0
ZA,2017,1.0
ZA,2018,1.0
ZW,2013,0.0
ZW,2014,0.0
ZW,2015,1.0
ZW,2016,0.0
ZW,2017,0.0
ZW,2018,0.0
